start	end	text
0	4360	With over two decades working in the environmental consulting and local government fields.
5120	9080	From leading waste reduction programs on the Sunshine Coast,
9420	13020	to championing natural asset management in Gibsons,
13300	16500	to advocating for public transit and EV infrastructure,
17160	19300	Jeremy's career has been rooted in sustainability.
20600	24540	And now, as the first BC Green member elected on the mainland,
24920	27420	he's helping shape a new chapter for the party.
27420	33840	So in this session, we'll hear from Jeremy on his reflections on the direction that the BC Greens are headed in,
34320	41540	the party's clean energy priorities, and we'll also dive into how those policies intersect with the realities
41540	44000	many of us are navigating on the ground.
44520	49380	From permitting to procurement, to indigenous partnerships, and economic realities.
50420	53240	So with that, please join me in welcoming Jeremy and Mary.
57420	59980	Thanks. Okay, that works.
61060	61580	Thanks, Ina.
62600	69080	So I'm really happy to be here, and it's very familiar to me because as a young engineer and environmental consultant,
69340	73740	in the 2000s, I used to attend these conferences back when it was IPBBC.
73960	77520	Some of you probably remember that, and I do see a few familiar faces.
77520	83860	So it's great to be brought up to speed, and it's great to be on the cusp of a new age for this industry.
84140	89920	I know that 15 years has been a long time, but there's a lot of excitement in this room.
90240	97140	So I got to work on small hydro projects in the Cleveland Valley, the Upper Bridge, Vancouver Island,
97140	104940	and up north as working on environmental mitigation and engineering constraints.
105280	110260	So, and now I'm an elected representative for the BC Greens.
110700	116220	It's a bit of a strange journey through local government, but we've elected two Green MLAs.
116560	117420	Neither of us returning.
117640	119960	We're brand new, so we're in a steep learning curve.
119960	126840	But right after the election, very tight election, as you remember, we were thrown into a negotiation with the government
126840	132540	to support them on budget and confidence motions, and we were able to agree on a series of projects
132540	139240	that we were going to work on together, shared priorities, health, housing, transit, forests, electoral reform.
139300	143960	The one that's probably of most interest to you is a full review of the Clean BC Climate Plan,
143960	149140	which is a year ahead of schedule, and we agreed the science is moving quickly.
149140	152660	We, the needs for energy are changing quickly.
152780	157660	So we've worked very closely with Minister Dix to establish some terms of reference
157660	159540	and then select expert panelists.
160500	167840	Maren Smith and Dan Vanilovic probably don't need any introduction in this room,
167940	172020	but they bring a lot of expertise to this table.
172640	176680	And so with input from stakeholders and the public and the Climate Solutions Council,
176680	180680	they are doing a full review that's supposed to be finished by October.
180820	185820	So I know people think of a review as a bit of a yawner and won't produce anything for you,
185880	188960	but this is a pretty critical stage for our climate plan.
189320	192220	As you know, we haven't been meeting our targets.
192220	199100	And we've unfortunately in a bit of a lull in terms of public enthusiasm for climate action.
199100	207020	I'm hoping and I'm very confident that it's cyclical and we will resume our focus on climate
207020	209540	when we get through some of these other challenges that we're facing.
209540	213560	But we're not meeting our targets and we need to figure out how to do that.
213680	221960	So updating from the 2018 plan and the scope for these reviewers is everything's on the table.
222140	223840	We're looking for a transformative change.
224320	227600	We're looking for a paradigm shift in how we tackle climate.
227600	230540	And this industry will be a huge part of that.
230620	236640	I'm not going to prejudge their results, but I know that electrification will be a major push.
236760	242040	So we're really excited for the previous call to power and the one that's coming up.
242160	244500	All of you are leading the way in this.
244560	246320	And government should be listening to you.
247060	249720	I'm really encouraged to hear some of the earlier presentations.
250100	252620	We're beating IEA projections for solar.
253700	257140	First Nations financing seems to be making major strides.
257140	266200	So what our Green Caucus thinks that we need is an overarching vision for power in this province.
266300	271800	Instead of lurching from call to call 15 years apart and rebates get brought in, rebates get cancelled,
272360	275260	we need a big picture energy pathways assessment.
275460	278000	And so a lot has been done.
278460	279740	There's been a big rush.
279940	283140	The tariff threat has caused this government to move quickly.
283940	285100	And in some ways that can be good.
285100	295160	But I have lived the permitting juggernaut, or sorry, the permitting gauntlet of 15 different ministries and 15 different permits.
296160	298440	I'm glad to see a one-window option.
300340	303340	As we all know, the BC Energy Regulatory hasn't been involved in this before,
303340	307820	so we're very concerned to see what their process will look like and how they'll tackle this.
307900	311960	And it's great to have Michelle speak to that earlier.
311960	318340	So we're looking at proposed legislation from this government that has some pretty significant changes
318340	324700	about how energy projects are assessed, including the major North Coast transmission line.
324700	330340	So if it promotes streamlining and it creates a one-window, that's great.
330420	334440	But we also need to make sure that we don't rush to get this wrong.
334560	336520	So we need to get this right.
